site,Slot 00,Slot 01,Slot 02,Slot 03,Slot 04,Slot 05
BJM0002,,,,,UBBPg3a,
MEN0004,,,,,UBBPg3a,
JPA0026,,,,,UBBPg3a,
ACU0001,,,UBBPg3b,,UBBPg3a,
JPA0079,,,,,UBBPg3a,
CRU0037,,,,,UBBPg3a,
PAF0003,,,,,UBBPg3a,
PUX0002,,,,,UBBPg2c,
AAU0007,,,,,UBBPg2c,
ACU0003,,,,,UBBPg3a,
JPA0053,,,,,UBBPg3a,
PAF0002,,,,,UBBPg3a,
ERA0003,,,,,UBBPg2c,
NOE0004,,,,,UBBPg2c,
JPA0022,,,,,UBBPg3a,
CRH0001,,,,,UBBPg3a,
POS0008,,,,,UBBPg3a,
CUD0002,,,,,UBBPg3a,
TMN0005,,,,,UBBPg3a,
NTL0003,,,,,UBBPg3a,
ACV0006,,,,,UBBPg3a,
OUI0003,,,,,UBBPg3a,
FLA0090,,,,,UBBPg3a,
JRO0002,,,,,UBBPg3a,
CFY0001,,,,,UBBPg3a,
OLF0001,,,,,UBBPg3a,
TMN0010,,,,,UBBPg3a,
TMN0014,,,,,UBBPg3a,
LIO0007,,,,,UBBPg2c,
LIO0005,,,,,UBBPg2c,
ACX0004,,,,,UBBPg2c,
TSA0085,,,,,UBBPg3a,
SOL0029,,,,,UBBPg3a,
SHD0004,,,,,UBBPg3a,
SOP0003,,,,,UBBPg2c,
SPH0006,,,,,UBBPg2c,
ACV0004,,,,,UBBPg3a,
TSA0110,,,,,UBBPg3a,
JPA0090,,,,,UBBPg3a,
PNA0002,,,,,UBBPg3a,
TMN0017,,,,,UBBPg3a,
CGE0048,,,,,UBBPg3a,
DPIP0002,,,,,UBBPg2c,
CGE0054,,,,,UBBPg2c,
TSA0119,,,,,UBBPg3a,
CFY0002,,,,,UBBPg3a,
JPA0014,,,,,UBBPg3a,
OUI0004,,,,,UBBPg3a,
ACV0001,,,,,UBBPg3a,
JPA0099,,,,,UBBPg3a,
JPA0098,,,,,UBBPg3a,
ACV0007,,,,,UBBPg3a,
TSA0001,,,,,UBBPg3a,
TSA0116,,,,,UBBPg3a,
PNA0007,,,,,UBBPg3a,
PYH0001,,,,,UBBPg3a,
PYH0002,,,,,UBBPg3a,
CGE0033,,,,,UBBPg3a,
POS0003,,,,,UBBPg3a,
GNJ0003,,,,,UBBPg2c,
TSA0033,,,,,UBBPg3a,
TSA0035,,,,,UBBPg3a,
TSA0106,,,,,UBBPg3a,
JPA0006,,,,,UBBPg3a,
SHD0002,,,,,UBBPg3a,
SHD0006,,,,,UBBPg3a,
SHD0005,,,,,UBBPg3a,
ACV0005,,,,,UBBPg3a,
OUI0001,,,,,UBBPg3a,
SBT0003,,,,,UBBPg3a,
TMN0002,,,,,UBBPg3a,
ARR0004,,,,,UBBPg2c,
OUI0002,,,,,UBBPg3a,
PNA0001,,,,,UBBPg3a,
TSA0027,,,,,UBBPg3a,
CUD0003,,,,,UBBPg3a,
TSA0047,,,,,UBBPg3a,
TSA0105,,,,,UBBPg3a,
PNA0006,,,,,UBBPg3a,
NTL0044,,,,,UBBPg3a,
TQN0001,,,,,UBBPg3a,
TQN0004,,,,,UBBPg2c,
ARR0008,,,,,UBBPg2c,
BJM0004,,,,,UBBPg3a,
PNA0011,,,,,UBBPg3a,
ERA0002,,,,,UBBPg3a,
TMN0019,,,,,UBBPg3a,
PQE0002,,,,,UBBPg3a,
BAO0003,,,,,UBBPg2c,
PNA0005,,,,,UBBPg3a,
ARR0007,,,,,UBBPg3a,
TSA0026,,,,,UBBPg3a,
VSA0009,,,,,UBBPg3a,
PNA0008,,,,,UBBPg3a,
TMN0008,,,,,UBBPg3a,
PNA0013,,,,,UBBPg3a,
BJM0008,,,,,UBBPg3a,
VSA0007,,,,,UBBPg3a,
VSA0003,,,,,UBBPg3a,
PNA0012,,,,,UBBPg3a,
TSA0075,,,,,UBBPg3a,
TSA0098,,,,,UBBPg3a,
TSA0009,,,,,UBBPg3a,
PNA0014,,,,,UBBPg3a,
NTL0085,,,,,UBBPg3a,
TSA0037,,,,,UBBPg3a,
BNN0001,,,,,UBBPg3a,
BNN0002,,,,,UBBPg3a,
JPA0080,,,,,UBBPg3a,
AIN0004,,,,,UBBPg2c,
TMN0001,,,,,UBBPg3a,
GBI0004,,,,,UBBPg3a,
VSA0006,,,,,UBBPg3a,
TSA0103,,,,,UBBPg3a,
SZC0009,,,,,UBBPg3a,
TSA0097,,,,,UBBPg3a,
DPIP0003,,,,,UBBPg2c,
TSA0096,,,,,UBBPg3a,
GRN0004,,,,,UBBPg2c,
NTL0037,,,,,UBBPg3a,
PIL0003,,,,,UBBPg2c,
TSA0049,,,,,UBBPg3a,
JPA0095,,,,,UBBPg2c,
CBD0012,,,,,UBBPg3a,
GVT0008,,,,,UBBPg2c,
CAY0004,,,,,UBBPg3b,
GBI0003,,,,,UBBPg3a,
GVT0003,,,,,UBBPg3a,
TSA0042,,,,,UBBPg3a,
SZC0003,,,,,UBBPg3a,
TMN0016,,,,,UBBPg3a,
TSA0006,,,,,UBBPg3a,
PFR0004,,,,,UBBPg2c,
CZD0001,,,,,UBBPg3a,
TSA0048,,,,,UBBPg3a,
MEN0002,,,,,UBBPg3a,
SXX0001,,,,,UBBPg2c,
NTL0084,,,,,UBBPg3a,
GVT0004,,,,,UBBPg3a,
TSA0115,,,,,UBBPg3a,
BNN0003,,,,,UBBPg2c,
PNA0004,,,,,UBBPg3a,
VSA0013,,,,,UBBPg2c,
TSA0002,,,,,UBBPg3a,
SZC0013,,,,,UBBPg3a,
TSA0007,,,,,UBBPg3a,
PNA0015,,,,,UBBPg3a,
FRS0001,,,,,UBBPg3a,
MEN0005,,,,,UBBPg3a,
JPA0103,,,,,UBBPg3a,
TSA0036,,,,,UBBPg3a,
PNA0017,,,,,UBBPg3a,
JPA0009,,,,,UBBPg3a,
TSA0104,,,,,UBBPg3a,
JPA0023,,,,,UBBPg3a,
JPA0017,,,,,UBBPg3a,
ICO0010,,,,,UBBPg2c,
MRO0014,,,,,UBBPg3a,
SZC0005,,,,,UBBPg2c,
MHW0002,,,,,UBBPg2c,
SUB0002,,,,,UBBPg2c,
PAF0005,,,,,UBBPg3a,
TMN0013,,,,,UBBPg3a,
TSA0117,,,,,UBBPg3a,
OLF0002,,,,,UBBPg2c,
SZC0006,,,,,UBBPg3a,
RDC0005,,,,,UBBPg2c,
SOL0022,,,,,UBBPg3a,
TSA0003,,,,,UBBPg3a,
TSA0111,,,,,UBBPg3a,
GVT0009,,,,,UBBPg3a,
GBI0002,,,,,UBBPg3a,
GVT0007,,,,,UBBPg2c,
SLZ0001,,,,,UBBPg3a,
ACV0008,,,,,UBBPg3a,
SZC0014,,,,,UBBPg3a,
TSA0004,,,,,UBBPg3a,
PQE0001,,,,,UBBPg3a,
TSA0008,,,,,UBBPg3a,
TSA0069,,,,,UBBPg3a,
DGA0001,,,,,UBBPg3a,
TSA0112,,,,,UBBPg3a,
CZD0002,,,,,UBBPg2c,
TSA0029,,,,,UBBPg3a,
TSA0014,,,,,UBBPg3a,
TSA0055,,,,,UBBPg3a,
TSA0051,,,,,UBBPg3a,
CGE0021,,,,,UBBPg3a,
GVT0002,,,,,UBBPg3a,
SGI0002,,,,,UBBPg3a,
IPU0004,,,,,UBBPg2c,
GBI0007,,,,,UBBPg2c,
TSA0109,,,,,UBBPg3a,
TSA0039,,,,,UBBPg3a,
CUD0001,,,,,UBBPg3a,
TMN0009,,,,,UBBPg3a,
VSA0011,,,,,UBBPg3a,
ACU0005,,,,,UBBPg2c,
PQE0004,,,,,UBBPg3a,
CRU0034,,,,,UBBPg3a,
CHD0001,,,,,UBBPg3a,
GVT0006,,,,,UBBPg3a,
TSA0040,,,,,UBBPg3a,
BJM0006,,,,,UBBPg3a,
TSA0062,,,,,UBBPg3a,
CRU0005,,,,,UBBPg3a,
FBO0003,,,,,UBBPg2c,
SLZ0002,,,,,UBBPg3a,
BGB0001,,,,,UBBPg3a,
QXA0008,,,,,UBBPg2c,
JPA0016,,,,,UBBPg3a,
TMN0012,,,,,UBBPg3a,
LSR0001,,,,,UBBPg3a,
LSR0002,,,,,UBBPg3a,
ECT0003,,,,,UBBPg2c,
JGN0006,,,,,UBBPg2c,
JPA0045,,,,,UBBPg3a,
CBD0009,,,,,UBBPg3a,
VZG0006,,,,,UBBPg2c,
BJS0004,,,UBBPg2c,,UBBPg2c,
BJS0005,,,,,UBBPg2c,
TSA0102,,,,,UBBPg3a,
TSA0056,,,,,UBBPg3a,
ACA0001,,,,,UBBPg3b,
TSA0057,,,,,UBBPg3a,
TSA0118,,,,,UBBPg3a,
NTL0082,,,,,UBBPg3a,
NTL0059,,,,,UBBPg3a,
FLA0057,,,,,UBBPg3a,
TSA0087,,,,,UBBPg3a,
FLA0143,,,,,UBBPg3a,
PDB0002,,,,,UBBPg2c,
TTA0005,,,,,UBBPg3a,
MBC0004,,,,,UBBPg2c,
JAT0002,,,,,UBBPg2c,
TSA0095,,,,,UBBPg3a,
CBD0008,,,,,UBBPg3a,
TSA0083,,,,,UBBPg3a,
ICP0003,,,,,UBBPg3a,
TSA0053,,,,,UBBPg3a,
PNA0003,,,,,UBBPg3a,
JRO0003,,,,,UBBPg2c,
SIT0001,,,,,UBBPg3a,
SIT0002,,,,,UBBPg3a,
JRO0001,,,,,UBBPg3a,
PNA0016,,,,,UBBPg3a,
PQE0003,,,,,UBBPg3a,
ICO0007,,,,,UBBPg2c,
VZG0005,,,,,UBBPg2c,
JUO0012,,,,,UBBPg3a,
JAT0003,,,,,UBBPg2c,
ESO0002,,,,,UBBPg2c,
TSA0081,,,,,UBBPg3a,
TSA0063,,,,,UBBPg3a,
UBJ0008,,,,,UBBPg2c,
MSS0003,,,,,UBBPg2c,
PUU0005,,,,,UBBPg2c,
NTL0042,,,,,UBBPg3a,
TSA0071,,,,,UBBPg3a,
TSA0058,,,,,UBBPg3a,
TSA0061,,,,,UBBPg3a,
BRK0002,,,,,UBBPg2c,
UBJ0007,,,,,UBBPg2c,
TSA0043,,,,,UBBPg3a,
TSA0024,,,,,UBBPg3a,
MGS0005,,,,,UBBPg2c,
TSA0086,,,,,UBBPg3a,
TSA0123,,,,,UBBPg2c,
TSA0054,,,,,UBBPg3a,
AQZ0011,,,,,UBBPg2c,
ACV0003,,,,,UBBPg3a,
CWX0003,,,,,UBBPg3a,
TSA0084,,,,,UBBPg3a,
SAU0004,,,,,UBBPg2c,
AUS0002,,,,,UBBPg3a,
CATR0002,,,,,UBBPg2c,
AAU0008,,,,,UBBPg3a,
TSA0041,,,,,UBBPg3a,
CIE0007,,,,,UBBPg2c,
SOP0004,,,,,UBBPg2c,
PFR0007,,,,,UBBPg2c,
TSA0032,,,,,UBBPg3a,
TSA0064,,,,,UBBPg3a,
TSA0044,,,,,UBBPg3a,
PTA0001,,,,,UBBPg3a,
TSA0019,,,,,UBBPg3a,
CTS0017,,,,,UBBPg2c,
PTA0013,,,,,UBBPg3a,
TSA0107,,,,,UBBPg3a,
ICA0003,,,,,UBBPg2c,
TSA0060,,,,,UBBPg3a,
CGE0038,,,,,UBBPg3a,
PTA0004,,,,,UBBPg3a,
IJD0004,,,,,UBBPg2c,
PTA0017,,,,,UBBPg3a,
PTA0011,,,,,UBBPg3a,
PTA0024,,,,,UBBPg3a,
VSA0008,,,,,UBBPg3a,
VSA0004,,,,,UBBPg3a,
PTA0012,,,,,UBBPg3a,
BTT0007,,,,,UBBPg2c,
GSS0005,,,,,UBBPg2c,
GSS0004,,,,,UBBPg2c,
ACR0005,,,,,UBBPg2c,
PTA0026,,,,,UBBPg3b,
GUS0002,,,,,UBBPg3a,
TSA0067,,,,,UBBPg3a,
JUO0003,,,,,UBBPg3a,
PWM0010,,,,,UBBPg3a,
NTL0041,,,,,UBBPg3a,
PTA0036,,,,,UBBPg3a,
TSA0052,,,,,UBBPg3a,
CGE0010,,,,,UBBPg3a,
PTA0016,,,,,UBBPg3a,
PTA0015,,,,,UBBPg3a,
GUS0003,,,,,UBBPg3a,
JUO0005,,,,,UBBPg3a,
PTA0035,,,,,UBBPg3a,
CEA0002,,,,,UBBPg2c,
PTA0020,,,,,UBBPg3a,
MAC0004,,,,,UBBPg2c,
JUO0020,,,,,UBBPg3a,
MDR0003,,,,,UBBPg2c,
TMN0020,,,,,UBBPg3a,
TSA0133,,,,,UBBPg2c,
JUO0006,,,,,UBBPg3a,
PTA0023,,,,,UBBPg3a,
PDU0006,,,,,UBBPg2c,
MHD0001,,,,,UBBPg3a,
TSA0129,,,,,UBBPg2c,
PTA0002,,,,,UBBPg3a,
HDA0002,,,,,UBBPg2c,
SHD0001,,,,,UBBPg3a,
MHD0004,,,,,UBBPg3a,
LNT0009,,,,,UBBPg2c,
FLA0108,,,,,UBBPg3a,
OLNM0002,,,,,UBBPg2c,
VNA0005,,,,,UBBPg2c,
MDR0004,,,,,UBBPg2c,
AMAU0003,,,,,UBBPg2c,
OLNM0003,,,,,UBBPg2c,
PDU0007,,,,,UBBPg2c,
SRRN0002,,,,,UBBPg2c,
OLNM0004,,,,,UBBPg2c,
VNA0006,,,,,UBBPg2c,
JUO0019,,,,,UBBPg3a,
PTA0037,,,,,UBBPg2c,
GUS0015,,,,,UBBPg3a,
TTM0007,,,,,UBBPg2c,
PDU0008,,,,,UBBPg2c,
TSA0046,,,,,UBBPg3a,
MVA0005,,,,,UBBPg2c,
JUO0011,,,,,UBBPg3a,
CGE0013,,,,,UBBPg3a,
QXE0005,,,,,UBBPg2c,
TSA0070,,,,,UBBPg3a,
TSA0114,,,,,UBBPg3a,
JUO0010,,,,,UBBPg3a,
GUS0016,,,,,UBBPg3a,
AQZ0015,,,,,UBBPg2c,
TSA0018,,,,,UBBPg3a,
JUO0007,,,,,UBBPg3a,
JUO0004,,,,,UBBPg3a,
TSA0108,,,,,UBBPg3a,
TSA0125,,,,,UBBPg2c,
TSA0059,,,,,UBBPg3a,
MRT0002,,,,,UBBPg3a,
ATO0004,,,,,UBBPg2c,
PHE0008,,,,,UBBPg2c,
MVA0008,,,,,UBBPg2c,
BEX0006,,,,,UBBPg3a,
TTA0001,,,,,UBBPg3a,
PTA0009,,,,,UBBPg3a,
PTA0010,,,,,UBBPg3a,
MCO0049,,,,,UBBPg3a,
TSA0132,,,,,UBBPg2c,
MVA0009,,,,,UBBPg2c,
CAY0016,,,,,UBBPg2c,
CRN0005,,,,,UBBPg2c,
TSA0065,,,,,UBBPg3a,
TSA0128,,,,,UBBPg2c,
MVA0007,,,,,UBBPg2c,
RUS0010,,,,,UBBPg2c,
MVA0006,,,,,UBBPg2c,
TTA0004,,,,,UBBPg3a,
JUO0013,,,,,UBBPg3a,
PTA0032,,,,,UBBPg3a,
SARH0003,,,,,UBBPg2c,
CIE0008,,,,,UBBPg2c,
TTA0002,,,,,UBBPg3a,
CTS0016,,,,,UBBPg2c,
MVA0010,,,,,UBBPg2c,
JUO0009,,,,,UBBPg3a,
SCF0003,,,,,UBBPg2c,
MUE0017,,,,,UBBPg2c,
GSS0003,,,,,UBBPg2c,
CRN0004,,,,,UBBPg2c,
LNT0010,,,,,UBBPg2c,
CVL0010,,,,,UBBPg2c,
TSA0005,,,,,UBBPg3a,
ATO0005,,,,,UBBPg2c,
ALN0007,,,,,UBBPg2c,
LNT0005,,,,,UBBPg2c,
PDZ0006,,,,,UBBPg2c,
ICO0012,,,,,UBBPg2c,
OCN0002,,,,,UBBPg2c,
PRP0003,,,,,UBBPg2c,
CGE0006,,,,,UBBPg3a,
GUS0018,,,,,UBBPg2c,
RUS0007,,,,,UBBPg2c,
MCO0030,,,,,UBBPg3a,
MCO0040,,,,,UBBPg3a,
TNT0005,,,,,UBBPg2c,
SCF0004,,,,,UBBPg2c,
TBB0007,,,,,UBBPg2c,
SXX0002,,,,,UBBPg2c,
IGE0006,,,,,UBBPg2c,
ALN0008,,,,,UBBPg2c,
PHE0009,,,,,UBBPg2c,
ICO0003,,,,,UBBPg2c,
PNA0020,,,,,UBBPg2c,
LAT0007,,,,,UBBPg2c,
SENC0003,,,,,UBBPg2c,
GUS0012,,,,,UBBPg3a,
TSA0089,,,,,UBBPg3a,
MHD0008,,,,,UBBPg3a,
IOP0013,,,,,UBBPg2c,
SOZ0002,,,,,UBBPg2c,
SRI0016,,,,,UBBPg3a,
CID0002,,,,,UBBPg2c,
PJS0008,,,,,UBBPg2c,
NRU0005,,,,,UBBPg2c,
TBL0004,,,,,UBBPg2c,
ABC0006-ABC0007,,,UBBPg2a,,UBBPg2c,
SHE0005,,,,,UBBPg2c,
SAU0002,,,,,UBBPg2c,
MUE0016,,,,,UBBPg3a,
NID0002,,,,,UBBPg2c,
CGE0004,,,,,UBBPg3a,
CUD0004,,,,,UBBPg2c,
MCI0015,,,,,UBBPg2c,
TIG0011,,,,,UBBPg2c,
BRN0008,,,,,UBBPg2c,
CRU0003,,,,,UBBPg3a,
MUE0008,,,,,UBBPg2c,
NTL0079,,,,,UBBPg3a,
JPA0066,,,,,UBBPg3a,
BIL0002,,,,,UBBPg2c,
BNN0006,,,,,UBBPg2c,
MGX0002,,,,,UBBPg3b,
PQT0003,,,,,UBBPg2c,
IAU0017-IAU0018,,,UBBPg2c,,UBBPg3a,
MCI0016,,,,,UBBPg2c,
FML0003,,,,,UBBPg2c,
TIG0012,,,,,UBBPg2c,
TSA0130,,,,,UBBPg2c,
PVO0002,,,,,UBBPg2c,
SZR0001,,,,,UBBPg2c,
TSA0066,,,,,UBBPg3a,
SXQ0001,,,,,UBBPg3a,
SLV0001,,,,,UBBPg2c,
MCO0006,,,,,UBBPg3a,
TZG0002,,,,,UBBPg3b,
TIG0009,,,,,UBBPg2c,
PES0004,,,,,UBBPg2c,
SXQ0003,,,,,UBBPg2c,
CRBT0001,,,,,UBBPg2c,
CTS0018,,,,,UBBPg2c,
ABC0004,,,,,UBBPg2c,
JIS0001,,,,,UBBPg3a,
CVL0011,,,,,UBBPg2c,
GNJ0004,,,,,UBBPg2c,
JAC0002,,,,,UBBPg2c,
SGQ0002,,,,,UBBPg2c,
SGM0022,,,,,UBBPg2c,
TSA0127,,,,,UBBPg2c,
TTA0003,,,,,UBBPg3a,
BNBT0001,,,,,UBBPg2c,
ESB0010,,,,,UBBPg3a,
JPA0065,,,,,UBBPg3a,
CHOO0002,,,,,UBBPg2c,
BBB0019,,,,,UBBPg2c,
PWN0001,,,,,UBBPg2c,
ALX0005,,,UBBPg2c,,UBBPg3b,
AUA0009,,,,,UBBPg3a,
GUS0011,,,,,UBBPg3a,
JUO0017,,,,,UBBPg3a,
IGE0005,,,,,UBBPg2c,
IAGA0005,,,,,UBBPg3a,
BOO0002,,,,,UBBPg2c,
CRU0002,,,,,UBBPg3a,
RUS0011,,,,,UBBPg2c,
SWV0001,,,,,UBBPg2c,
PODA0001,,,,,UBBPg2c,
AHA0003,,,,,UBBPg2c,
JUO0002,,,,,UBBPg3a,
SWR0002,,,,,UBBPg2c,
LNT0011,,,,,UBBPg2c,
PTA0008,,,,,UBBPg3a,
MCO0003,,,,,UBBPg3a,
AEI0003,,,,,UBBPg2c,
SRI0004,,,,,UBBPg3b,
ACU0008,,,,,UBBPg2c,
TRIU0001,,,,,UBBPg2c,
SBT0001,,,,,UBBPg3a,
PUB0010,,,,,UBBPg3a,
GUS0007,,,,,UBBPg3a,
SZC0004,,,,,UBBPg3a,
PUB0009,,,,,UBBPg3a,
GNJ0006,,,,,UBBPg2c,
GUS0004,,,,,UBBPg3a,
VRZ0002,,,,,UBBPg2c,
JUO0014,,,,,UBBPg3a,
BBB0020,,,,,UBBPg2c,
GUS0014,,,,,UBBPg3a,
FLF0001,,,,,UBBPg2c,
MHD0009,,,,,UBBPg3a,
CRU0019,,,,,UBBPg3b,
QXA0010,,,,,UBBPg2c,
PUB0011,,,,,UBBPg3a,
SQM0002,,,,,UBBPg2c,
PTA0047,,,,,UBBPg2c,
PNA0010,,,,,UBBPg3a,
PTA0043,,,,,UBBPg2c,
PTA0048,,,,,UBBPg2c,
PAW0001,,,,,UBBPg2c,
GUS0013,,,,,UBBPg3a,
UBJ0010,,,,,UBBPg2c,
BNN0005,,,,,UBBPg2c,
CZS0009,,,,,UBBPg2c,
CID0003,,,,,UBBPg2c,
RRB0003,,,,,UBBPg2c,
PWN0002,,,,,UBBPg2c,
PTA0022,,,,,UBBPg3a,
JUO0001,,,,,UBBPg3a,
MHD0007,,,,,UBBPg3a,
BCZ0005,,,,,UBBPg2c,
BNN0004,,,,,UBBPg2c,
PBL0001,,,,,UBBPg3a,
CRU0033,,,,,UBBPg3a,
JPA0083,,,,,UBBPg3a,
ICO0016,,,,,UBBPg2c,
STH0001,,,,,UBBPg2c,
TJU0002,,,,,UBBPg2c,
TAI0004,,,,,UBBPg2c,
JPA0024,,,,,UBBPg3a,
LIO0006,,,,,UBBPg2c,
MHD0005,,,,,UBBPg3a,
IMI0002,,,,,UBBPg2c,
SBCZ0001,,,,,UBBPg2c,
TSA0124,,,,,UBBPg2c,
ALF0002,,,,,UBBPg2c,
STN0012,,,,,UBBPg2c,
CIB0002,,,,,UBBPg2c,
CEA0003,,,,,UBBPg2c,
ICO0013,,,,,UBBPg2c,
VTS0003,,,,,UBBPg2c,
PHN0002,,,,,UBBPg2c,
MCO0068,,,,,UBBPg3a,
FLA0136,,,,,UBBPg3a,
SUU0007,,,,,UBBPg2c,
MIPA0003,,,,,UBBPg2c,
RHM0002,,,,,UBBPg2c,
AEI0002,,,,,UBBPg2c,
CAPI0002,,,,,UBBPg2c,
AAN0002,,,,,UBBPg2c,
FML0002,,,,,UBBPg2c,
INT0011,,,,,UBBPg2c,
GUS0001,,,,,UBBPg3a,
CZH0006,,,,,UBBPg2c,
MHO0004,,,,,UBBPg2c,
JUO0015,,,,,UBBPg3a,
INT0012,,,,,UBBPg2c,
CSR0002,,,,,UBBPg2c,
PTA0049-PTA0040,,,UBBPg2c,,UBBPg2c,
GNL0002,,,,,UBBPg2c,
MHR0004-MHR0003,,,UBBPg2a,,UBBPg2c,
PTA0046,,,,,UBBPg3a,
MEN0001,,,,,UBBPg3a,
EXZ0010,,,,,UBBPg2c,
MCO0025,,,,,UBBPg3a,
CSR0003,,,,,UBBPg2c,
MCO0021,,,,,UBBPg3a,
SRI0019,,,,,UBBPg3a,
DGA0007,,,,,UBBPg2c,
MCO0026,,,,,UBBPg3a,
LSR0004,,,,,UBBPg2c,
BFA0002,,,,,UBBPg2c,
CUTM0002,,,,,UBBPg2c,
MCO0035,,,,,UBBPg3a,
PUB0012,,,,,UBBPg3a,
MDX0002,,,,,UBBPg2a,
TGO0001,,,,,UBBPg2c,
MBC0009,,,,,UBBPg2a,
PTA0021,,,,,UBBPg3a,
LGN0004,,,,,UBBPg2a,
SCZ0001,,,,,UBBPg3a,
CUCI0002,,,,,UBBPg2c,
TNT0003,,,,,UBBPg2c,
VSA0012,,,,,UBBPg3a,
DGA0006,,,,,UBBPg2c,
CIE0011,,,,,UBBPg2c,
CTO0001,,,,,UBBPg3a,
CIC0010,,,,,UBBPg2a,
PTA0003,,,,,UBBPg3a,
LSR0003,,,,,UBBPg3a,
SLV0002,,,,,UBBPg2c,
JDM0004,,,,,UBBPg2a,
MCO0072,,,,,UBBPg3a,
SZC0015,,,,,UBBPg2c,
FLA0217,,,,,UBBPg3a,
GCA0002,,,,,UBBPg2c,
PTA0018,,,,,UBBPg3a,
MCO0051,,,,,UBBPg3a,
JDM0005,,,,,UBBPg2a,
PES0005,,,,,UBBPg3a,
CAY0012,,,,,UBBPg3a,
MCO0039,,,,,UBBPg3a,
PAB0002,,,,,UBBPg2c,
TTN0003,,,,,UBBPg2c,
CRU0015,,,,,UBBPg3a,
IDA0003,,,,,UBBPg3a,
SGM0021,,,,,UBBPg2c,
CUC0045,,,,,UBBPg2a,
SLM0002,,,,,UBBPg2c,
TTN0004,,,,,UBBPg2c,
URM0002,,,,,UBBPg2c,
UIO0005,,,,,UBBPg2c,
SZC0011,,,,,UBBPg3a,
QXM0013,,,,,UBBPg2c,
SZC0008,,,,,UBBPg3a,
SGM0017,,,,,UBBPg3a,
AIR0017,,,,,UBBPg3a,
SZC0010,,,,,UBBPg2a,
MCO0111,,,,,UBBPg3a,
PUB0006,,,,,UBBPg2c,
MCO0100,,,,,UBBPg3a,
MCO0087,,,,,UBBPg3a,
CGE0015,,,,,UBBPg3a,
CNB0003,,,,,UBBPg2c,
MCX0002,,,,,UBBPg2c,
JPA0104,,,UBBPg2a,,UBBPg3a,
VRZ0003,,,,,UBBPg2c,
PFN0004,,,,,UBBPg2c,
PCZ0008,,,,,UBBPg2c,
PUB0005,,,,,UBBPg3a,
CHR0001,,,,,UBBPg2c,
CIE0010,,,,,UBBPg2c,
FCC0002,,,,,UBBPg2c,
PTA0025,,,,,UBBPg3a,
JPA0078,,,,,UBBPg3a,
CUC0046,,,,,UBBPg3a,
CGDP0002,,,,,UBBPg2c,
CRU0042,,,,,UBBPg2a,
JPA0047,,,,,UBBPg3a,
JDO0001,,,,,UBBPg2c,
GVT0012,,,,,UBBPg2c,
TMN0011,,,,,UBBPg3a,
CRU0043,,,,,UBBPg2c,
PTA0005,,,,,UBBPg3a,
SCI0001,,,,,UBBPg3a,
NTL0035,,,,,UBBPg3a,
JUO0023,,,,,UBBPg2a,
SSB0002,,,,,UBBPg2c,
TSA0126,,,,,UBBPg2c,
CPZL0003,,,,,UBBPg2a,
BED0003,,,,,UBBPg2a,
ESS0003,,,,,UBBPg2a,
CASI0002,,,,,UBBPg2c,
BJH0004,,,,,UBBPg2a,
SUO0003,,,,,UBBPg2c,
THU0003,,,,,UBBPg2a,
BJH0003,,,,,UBBPg2a,
PBU0002,,,,,UBBPg2c,
CCK0003,,,,,UBBPg2a,
TSA0120,,,,,UBBPg3a,
PIL0004,,,,,UBBPg2a,
