site,Slot 00,Slot 01,Slot 02,Slot 03,Slot 04,Slot 05
CUC0007,,,,,UBBPg3b,
FLA0012,,,,,UBBPg3a,
FLA0206,,,,,UBBPg3b,
MCW0011,,,,,UBBPg3b,
LVM0001,,,,,UBBPg3b,
FLA0128,,,,,UBBPg3b,
FLA0198,,,,,UBBPg3b,
FLA0208,,,,,UBBPg3b,
FLA0071,,,,,UBBPg3b,
MBC0002,,,,,UBBPg2c,
FLA0205,,,,,UBBPg3b,
JAT0001,,,,,UBBPg2c,
ATO0001,,,,,UBBPg3b,
FLA0203,,,UBBPg2c,,UBBPg3b,
JGE0006,,,,,UBBPg2c,
CUC0029,,,,,UBBPg3b,
MBC0001,,,,,UBBPg3b,
MGS0001,,,,,UBBPg3b,
PEO0003,,,UBBPg3b,,UBBPg2c,
MCV0001,,,,,UBBPg3b,
SPM0001,,,UBBPg2c,,UBBPg3b,
ESB0008,,,,,UBBPg3b,
CVL0006,,,,,UBBPg3b,
CVL0001,,,,,UBBPg3b,
PDJ0001,,,,,UBBPg3b,
QXA0005,,,,,UBBPg3b,
BJS0002,,,UBBPg2a,,UBBPg3b,
CVL0007,,,,,UBBPg3b,
BJS0001,,,UBBPg3b,,UBBPg3b,
CED0002,,,,,UBBPg3b,
PWB0004,,,,,UBBPg2c,
FLA0178,,,,,UBBPg3b,
FLA0029,,,,,UBBPg3b,
PFT0001,,,UBBPg2c,,UBBPg3b,
IGE0001,,,,,UBBPg3b,
AGV0001,,,UBBPg2c,,UBBPg2c,
IGE0002,,,,,UBBPg3b,
PWB0006,,,,,UBBPg2c,
FLA0127,,,,,UBBPg3b,
SFT0001,,,,,UBBPg2c,
FLA0166,,,,,UBBPg3b,
CUC0033,,,,,UBBPg3b,
JGE0005,,,UBBPg3b,,UBBPg2c,
PUB0003,,,,,UBBPg3b,
PWB0003,,,,,UBBPg2c,
SRU0001,,,UBBPg2c,,UBBPg3b,
BAO0001,,,,,UBBPg3b,
FLA0224,,,UBBPg2c,,UBBPg3b,
RFL0001,,,UBBPg2c,,UBBPg3b,
MCW0016,,,,,UBBPg3b,
DPIP0001,,,,,UBBPg2c,
DRV0002,,,UBBPg3b,,UBBPg2c,
ANE0001,,,UBBPg2c,,UBBPg3b,
NRU0002,,,UBBPg3b,,UBBPg3a,
ANY0001,,,,,UBBPg3b,
PWB0005,,,,,UBBPg2c,
MVA0002-MVA0012,,,UBBPg2c,,UBBPg3a,
IAU0008,,,UBBPg3b,,UBBPg2c,
FLA0190,,,,,UBBPg3b,
TIG0003,,,UBBPg2c,,UBBPg3b,
TIG0004,,,,,UBBPg3b,
PWB0002,,,,,UBBPg2c,
TUA0003,,,,,UBBPg3b,
TUA0002,,,,,UBBPg3b,
NRU0001,,,,,UBBPg3a,
FLA0243,,,,,UBBPg3b,
QXO0001,,,,,UBBPg3b,
OOS0002,,,,,UBBPg3b,
INX0001,,,UBBPg2c,,UBBPg3b,
AQZ0004,,,,,UBBPg3b,
AQZ0008,,,,,UBBPg3b,
AQZ0010,,,UBBPg2c,,UBBPg3b,
UMI0001,,,,,UBBPg2c,
AQZ0006,,,,,UBBPg3b,
FLA0116,,,,,UBBPg3b,
IOP0007,,,UBBPg2c,,UBBPg3b,
CCV0001,,,,,UBBPg2c,
SBN0001,,,,,UBBPg3b,
CTS0004,,,,,UBBPg3b,
FLA0151,,,,,UBBPg3a,
JNE0015,,,,,UBBPg3b,
FLA0050,,,,,UBBPg3b,
FLA0056,,,,,UBBPg3b,
FLA0152,,,,,UBBPg3a,
CTS0002,,,,,UBBPg3b,
FLA0227,,,,,UBBPg3b,
FLA0204,,,,,UBBPg3a,
FLA0186,,,,,UBBPg3b,
FLA0021,,,,,UBBPg3b,
FLA0240,,,,,UBBPg3b,
FLA0079,,,,,UBBPg3b,
FLA0169,,,,,UBBPg3b,
FLA0159,,,,,UBBPg3b,
FLA0075,,,,,UBBPg3b,
FLA0181,,,,,UBBPg3b,
FLA0211,,,,,UBBPg3b,
